2021-01-22 10:55:52|Consectetur neque velit magnam numquam porro porro etincidunt.|1|False
2021-01-22 10:56:52|Quaerat eius est consectetur dolore velit.|2|False
2021-01-22 10:57:52|Numquam ut porro labore.|3|True
2021-01-22 10:58:52|Neque dolor dolor aliquam.|4|True
2021-01-22 10:59:52|Neque voluptatem sit ut.|5|True
2021-01-22 11:00:52|Eius quiquia sed sed amet.|6|False
2021-01-22 11:01:52|Tempora adipisci non modi quaerat modi velit ut.|7|True
2021-01-22 11:02:52|Sit etincidunt dolorem dolor.|8|False
2021-01-22 11:03:52|Numquam neque velit quaerat.|9|True
2021-01-22 11:04:52|Quaerat eius aliquam porro voluptatem numquam.|10|False
